volcano,volcanoLabel,elevation,country,countryLabel,coord,mountainRange,mountainRangeLabel
http://www.wikidata.org/entity/Q4388970,Райкоке,515,http://www.wikidata.org/entity/Q159,Россия,Point(153.25 48.293055555),http://www.wikidata.org/entity/Q2372442,Большая Курильская гряда
http://www.wikidata.org/entity/Q31445536,Kalem,512,http://www.wikidata.org/entity/Q183,Германия,Point(6.61782 50.18587),http://www.wikidata.org/entity/Q2380693,South Eifel
http://www.wikidata.org/entity/Q4253468,Ламанон (горы),507,http://www.wikidata.org/entity/Q159,Россия,Point(142.1 48.7),http://www.wikidata.org/entity/Q2577955,Западно-Сахалинские горы
http://www.wikidata.org/entity/Q538601,Теревака,507,http://www.wikidata.org/entity/Q298,Чили,Point(-109.379444444 -27.084444444),,
http://www.wikidata.org/entity/Q2943430,Cayutue-La Vigueria,506,http://www.wikidata.org/entity/Q298,Чили,Point(-72.27 -41.25),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q4327908,Tal Saki,494,http://www.wikidata.org/entity/Q801,Израиль,Point(35.8306 32.8664),http://www.wikidata.org/entity/Q6638133,Israeli Volcanic Ridge
http://www.wikidata.org/entity/Q6620789,Singu Plateau,493,http://www.wikidata.org/entity/Q836,Мьянма,Point(95.96666667 22.68333333),,
http://www.wikidata.org/entity/Q1623902,Hoher Hagen,492.5,http://www.wikidata.org/entity/Q183,Германия,Point(9.76457 51.4752),http://www.wikidata.org/entity/Q1255805,Dransfeld Municipal Forest
http://www.wikidata.org/entity/Q21054856,Volcán Santiago,492,http://www.wikidata.org/entity/Q811,Никарагуа,Point(-86.1675 11.984722222),,
http://www.wikidata.org/entity/Q111907475,Heidarspordar,490,http://www.wikidata.org/entity/Q189,Исландия,Point(-16.49 65.35),,
http://www.wikidata.org/entity/Q1808306,Вулкан Амак,488,http://www.wikidata.org/entity/Q30,США,Point(-163.15 55.416666666),http://www.wikidata.org/entity/Q678687,Алеутский хребет
http://www.wikidata.org/entity/Q31454229,Sopka Aligey,486,http://www.wikidata.org/entity/Q159,Россия,Point(160.533333333 57.966666666),,
http://www.wikidata.org/entity/Q31450005,Cerro Mancira,479,http://www.wikidata.org/entity/Q96,Мексика,Point(-103.5226 18.5331),,
http://www.wikidata.org/entity/Q11439588,Ōno Dake,465.9,http://www.wikidata.org/entity/Q17,Япония,Point(130.516666666 31.256111111),,
http://www.wikidata.org/entity/Q11439588,Ōno Dake,465.9,http://www.wikidata.org/entity/Q17,Япония,Point(130.51680556 31.256),,
http://www.wikidata.org/entity/Q138427192,Q138427192,463.8,http://www.wikidata.org/entity/Q183,Германия,Point(6.80585861 50.1485264),,
http://www.wikidata.org/entity/Q3683240,Collina dei Camaldoli,459,http://www.wikidata.org/entity/Q38,Италия,Point(14.1914 40.8575),,
http://www.wikidata.org/entity/Q3683240,Collina dei Camaldoli,459,http://www.wikidata.org/entity/Q38,Италия,Point(14.19206 40.8582),,
http://www.wikidata.org/entity/Q1195352,Пинсон,458,http://www.wikidata.org/entity/Q736,Эквадор,Point(-90.65 -0.6),,
http://www.wikidata.org/entity/Q31627425,Sopka Baba,458,http://www.wikidata.org/entity/Q159,Россия,Point(156.5967 51.3017),,
http://www.wikidata.org/entity/Q3683240,Collina dei Camaldoli,457,http://www.wikidata.org/entity/Q38,Италия,Point(14.1914 40.8575),,
