constellation,constellationLabel,area,abbreviation,neighborConstellationsLabel
http://www.wikidata.org/entity/Q10438,Малый Конь,72,Equ,Дельфин
http://www.wikidata.org/entity/Q10438,Малый Конь,72,Equ,Водолей
http://www.wikidata.org/entity/Q10441,Феникс,469,Phe,Печь
http://www.wikidata.org/entity/Q10441,Феникс,469,Phe,Скульптор
http://www.wikidata.org/entity/Q10441,Феникс,469,Phe,Южная Гидра
http://www.wikidata.org/entity/Q10441,Феникс,469,Phe,Эридан
http://www.wikidata.org/entity/Q10441,Феникс,469,Phe,Журавль
http://www.wikidata.org/entity/Q10441,Феникс,469,Phe,Тукан
http://www.wikidata.org/entity/Q10443,Рысь,545,Lyn,Жираф
http://www.wikidata.org/entity/Q10443,Рысь,545,Lyn,Рак
http://www.wikidata.org/entity/Q10443,Рысь,545,Lyn,Лев
http://www.wikidata.org/entity/Q10443,Рысь,545,Lyn,Большая Медведица
http://www.wikidata.org/entity/Q10443,Рысь,545,Lyn,Близнецы
http://www.wikidata.org/entity/Q10443,Рысь,545,Lyn,Малый Лев
http://www.wikidata.org/entity/Q10443,Рысь,545,Lyn,Возничий
http://www.wikidata.org/entity/Q10446,Заяц,290,Lep,Орион
http://www.wikidata.org/entity/Q10446,Заяц,290,Lep,Голубь
http://www.wikidata.org/entity/Q10446,Заяц,290,Lep,Единорог
http://www.wikidata.org/entity/Q10446,Заяц,290,Lep,Эридан
http://www.wikidata.org/entity/Q10446,Заяц,290,Lep,Резец
http://www.wikidata.org/entity/Q10446,Заяц,290,Lep,Большой Пёс
http://www.wikidata.org/entity/Q10448,Геркулес,1225,Her,Волопас
http://www.wikidata.org/entity/Q10448,Геркулес,1225,Her,Дракон
http://www.wikidata.org/entity/Q10448,Геркулес,1225,Her,Змееносец
http://www.wikidata.org/entity/Q10448,Геркулес,1225,Her,Змея
http://www.wikidata.org/entity/Q10448,Геркулес,1225,Her,Северная Корона
http://www.wikidata.org/entity/Q10448,Геркулес,1225,Her,Лира
http://www.wikidata.org/entity/Q10448,Геркулес,1225,Her,Стрела
http://www.wikidata.org/entity/Q10448,Геркулес,1225,Her,Лисичка
http://www.wikidata.org/entity/Q10448,Геркулес,1225,Her,Орёл
http://www.wikidata.org/entity/Q10450,Индеец,294,Ind,Стрелец
http://www.wikidata.org/entity/Q10450,Индеец,294,Ind,Микроскоп
http://www.wikidata.org/entity/Q10450,Индеец,294,Ind,Октант
http://www.wikidata.org/entity/Q10450,Индеец,294,Ind,Павлин
http://www.wikidata.org/entity/Q10450,Индеец,294,Ind,Телескоп
http://www.wikidata.org/entity/Q10450,Индеец,294,Ind,Журавль
http://www.wikidata.org/entity/Q10450,Индеец,294,Ind,Тукан
http://www.wikidata.org/entity/Q10452,Гончие Псы,465,CVn,Волопас
http://www.wikidata.org/entity/Q10452,Гончие Псы,465,CVn,Большая Медведица
http://www.wikidata.org/entity/Q10452,Гончие Псы,465,CVn,Волосы Вероники
http://www.wikidata.org/entity/Q10457,Хамелеон,132,Cha,Столовая Гора
http://www.wikidata.org/entity/Q10457,Хамелеон,132,Cha,Муха
http://www.wikidata.org/entity/Q10457,Хамелеон,132,Cha,Летучая Рыба
http://www.wikidata.org/entity/Q10457,Хамелеон,132,Cha,Киль
http://www.wikidata.org/entity/Q10457,Хамелеон,132,Cha,Октант
http://www.wikidata.org/entity/Q10457,Хамелеон,132,Cha,Райская Птица
http://www.wikidata.org/entity/Q10464,Кассиопея,598,Cas,Жираф
http://www.wikidata.org/entity/Q10464,Кассиопея,598,Cas,Андромеда
http://www.wikidata.org/entity/Q10464,Кассиопея,598,Cas,Ящерица
http://www.wikidata.org/entity/Q10464,Кассиопея,598,Cas,Цефей
http://www.wikidata.org/entity/Q10464,Кассиопея,598,Cas,Персей
http://www.wikidata.org/entity/Q10468,Цефей,589,Cep,Дракон
http://www.wikidata.org/entity/Q10468,Цефей,589,Cep,Жираф
http://www.wikidata.org/entity/Q10468,Цефей,589,Cep,Лебедь
http://www.wikidata.org/entity/Q10468,Цефей,589,Cep,Ящерица
http://www.wikidata.org/entity/Q10468,Цефей,589,Cep,Кассиопея
