constellation,constellationLabel,area,abbreviation,neighborConstellations
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q8675
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q8864
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q10430
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q10468
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q10484
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q10519
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q8849
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q8860
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q9305
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q10428
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q10443
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q10476
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q10570
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10425
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10428
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10470
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10473
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10486
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10521
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10538
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q8865
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10413
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10422
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10506
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10515
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10546
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10582
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q8679
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q8864
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q10430
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q10464
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q10511
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q10565
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,http://www.wikidata.org/entity/Q8842
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,http://www.wikidata.org/entity/Q8853
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,http://www.wikidata.org/entity/Q10517
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,http://www.wikidata.org/entity/Q10525
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,http://www.wikidata.org/entity/Q8842
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,http://www.wikidata.org/entity/Q8853
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,http://www.wikidata.org/entity/Q8918
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,http://www.wikidata.org/entity/Q10452
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q8839
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q8913
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q10409
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q10441
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q10563
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,http://www.wikidata.org/entity/Q8837
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,http://www.wikidata.org/entity/Q10416
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,http://www.wikidata.org/entity/Q10437
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,http://www.wikidata.org/entity/Q10457
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,http://www.wikidata.org/entity/Q10503
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q8864
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q10438
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q10513
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q10519
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q10586
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,http://www.wikidata.org/entity/Q8849
