star,starLabel,constellation,constellationLabel,starTypeLabel
http://www.wikidata.org/entity/Q76790679,EPIC 224439122,http://www.wikidata.org/entity/Q11243,туманность Лагуна,переменная звезда
http://www.wikidata.org/entity/Q76790679,EPIC 224439122,http://www.wikidata.org/entity/Q2001397,NGC 6530,переменная звезда
http://www.wikidata.org/entity/Q76790969,V1785 Стрельца,http://www.wikidata.org/entity/Q2001397,NGC 6530,переменная звезда
http://www.wikidata.org/entity/Q76792615,V5098 Стрельца,http://www.wikidata.org/entity/Q2001397,NGC 6530,переменная звезда
http://www.wikidata.org/entity/Q76804407,SV* HV 5510,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
http://www.wikidata.org/entity/Q76805067,SV* HV 2239,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
http://www.wikidata.org/entity/Q76808376,OGLE J051450.91-685028.9,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
http://www.wikidata.org/entity/Q76810174,SV* HV 5525,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
http://www.wikidata.org/entity/Q76810399,OGLE LMC-SC9 198335,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
http://www.wikidata.org/entity/Q76810547,SV* HV 2242,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
http://www.wikidata.org/entity/Q76810598,SV* HV 12495,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
http://www.wikidata.org/entity/Q76815188,SV* HV 12501,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
http://www.wikidata.org/entity/Q76859404,[WMO2009] Scl- 382,http://www.wikidata.org/entity/Q32889,карликовая галактика в созвездии Скульптор,переменная звезда
http://www.wikidata.org/entity/Q76859841,[HKW2014] 236,http://www.wikidata.org/entity/Q35818,карликовая галактика в созвездии Печь,переменная звезда
http://www.wikidata.org/entity/Q76860021,[WMO2009] For-2260,http://www.wikidata.org/entity/Q35818,карликовая галактика в созвездии Печь,переменная звезда
http://www.wikidata.org/entity/Q76937998,BD+05 2513,http://www.wikidata.org/entity/Q76931250,** HEI 852AB,переменная звезда
