star,starLabel,constellation,constellationLabel,starType,starTypeLabel
http://www.wikidata.org/entity/Q79621868,Q79621868,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q6624320,V381 Цефея,http://www.wikidata.org/entity/Q76499587,STF 2790,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q76804641,Q76804641,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83734405,Q83734405,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75033768,Q75033768,http://www.wikidata.org/entity/Q595119,скопление Квинтуплет,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q83737114,Q83737114,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83736514,Q83736514,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75606721,Q75606721,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75104434,Q75104434,http://www.wikidata.org/entity/Q32889,карликовая галактика в созвездии Скульптор,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q5854119,FZ Персея,http://www.wikidata.org/entity/Q1327951,Двойное скопление в Персее,http://www.wikidata.org/entity/Q5898,красный сверхгигант
